condition,concentration,TP,FN,FP,TN,recall,precision,accuracy,specificity,f1,error_rate
Flash,1000,75,0,3,237,1.0,0.9615384615384616,0.9904761904761905,0.9875,0.9803921568627451,0.0
Flash,500,59,1,3,237,0.9833333333333333,0.9516129032258065,0.9866666666666667,0.9875,0.9672131147540983,0.016666666666666666
Flash,250,49,1,3,237,0.98,0.9423076923076923,0.9862068965517241,0.9875,0.9607843137254902,0.02
Flash,125,29,21,3,237,0.58,0.90625,0.9172413793103448,0.9875,0.7073170731707317,0.42
No‑flash,1000,75,0,3,237,1.0,0.9615384615384616,0.9904761904761905,0.9875,0.9803921568627451,0.0
No‑flash,500,60,0,3,237,1.0,0.9523809523809523,0.99,0.9875,0.975609756097561,0.0
No‑flash,250,47,3,3,237,0.94,0.94,0.9793103448275862,0.9875,0.94,0.06
No‑flash,125,32,18,3,237,0.64,0.9142857142857143,0.9275862068965517,0.9875,0.7529411764705883,0.36
No‑flash‑125,1000,75,0,13,227,1.0,0.8522727272727273,0.9587301587301588,0.9458333333333333,0.9202453987730062,0.0
No‑flash‑125,500,59,1,13,227,0.9833333333333333,0.8194444444444444,0.9533333333333334,0.9458333333333333,0.893939393939394,0.016666666666666666
No‑flash‑125,250,49,1,13,227,0.98,0.7903225806451613,0.9517241379310345,0.9458333333333333,0.8749999999999999,0.02
No‑flash‑125,125,37,13,13,227,0.74,0.74,0.9103448275862069,0.9458333333333333,0.74,0.26
